comentario,Valor,nombreAspecto
"cuando llegamos temprano, no nos permite ingresar al salom.",Negativo,Percepción General
"la calidad de los docentes, las clases dinámicas el orden y la comodidad para el estudiante",Positivo,Docentes
no lo se,Negativo,Percepción General
el buen trato que dan los profesores y su infraestructura,Positivo,Docentes
que estoy aprendiendo mucho mas en esta universidad,Positivo,Estrategia Académica
algunos profesores faltan capacitarse en algunos aspectos,Negativo,Docentes
hay necesidad de practicas en laboratorios omuestras de ejemplos de experiencias vividas por el docente.,Negativo,Docentes
el buen redisaje que nos dan los profesores y que hacen valer nuestra opinion,Positivo,Docentes
en el profesorado en algun caso incopetente,Negativo,Docentes
agregar mas tiempo en los breaks entre clase  creas un almacen para que los alumnos guarden sus proyectos,Negativo,Estrategia Académica
basicamente el modo de ensenanza es muy bueno,Positivo,Percepción General
"tengo la percepcion que la unversidad prima el interes eonomico sobre el educativo, en estadistica no llegabamos a ir labiratorio debdo a la cantidad de aumnos",Negativo,Percepción General
"el nivel de working es muy basico, deberian exigir mas",Negativo,Percepción General
que hay buenos profesor3s te enesanan bien y te exigen par ser mejor,Positivo,Docentes
"las redes, mecanicas de estudio y futbol 11 profesional",Negativo,Estrategia Académica
la metodología que han usado de los cursos virtuales es muy buena,Positivo,Estrategia Académica
valoro la manera más amable de la enseñanza,Positivo,Docentes
"los profesores dejan varios vacíos,  les falta metodología.",Negativo,Docentes
ios horarios de clase son muy disparejos y coplicadospara ls personas  que trabajan,Positivo,Estrategia Académica
"falta de practica , visitas",Negativo,Estrategia Académica
el compartir experiencias y opiniones con compañeros que trabajan igual que tu es bastante enriquecedor y la disponibilida d de est acionamentoi,Positivo,Estrategia Académica
las nuevas enseñansas que aprendo dia dia y el trabajo en grupo.,Positivo,Estrategia Académica
la enseñaza de algunos profesores que saben como llegar al estudiantee,Positivo,Docentes
en el poco tiempo que estamos estudiando nos ha brindado las herramientas necesarias para nuestro rapido aprendizaje.,Positivo,Estrategia Académica
trabajos en equipo,Positivo,Estrategia Académica
"la enseñanza me parece genial, las instalaciones comodas, deberian aumentar computadoras y mas espacio de salones en la biblioteca",Positivo,Estrategia Académica
mis aprendisajes y sobre todo la enseñansa,Positivo,Estrategia Académica
"creo que todo en general, las herramientas que nos dan para poder desarrollarnos mejor y la buena atención que nos brindan.",Positivo,Percepción General
los profesores de matemáticas,Negativo,Docentes
flexibilidad con los horarios y los costos,Positivo,Estrategia Académica
ah valoro los buenos profesores que tienen,Positivo,Docentes
la calidad de servicio.,Negativo,Percepción General
"un muy buem ambiente,buen trato",Positivo,Percepción General
"la buena enseñanza, los buenos docentes etc.",Positivo,Docentes
uma exelente formacion academica; didacticos respetuosos entendible etc,Positivo,Estrategia Académica
que hay un ambiente excelente para estudiar y hacer amigos,Positivo,Percepción General
deben de organizar actividades que nos integren,Negativo,Percepción General
"cuando hacen la elección de los horarios es un caso uno no tiene tiempo para escoger somos reseñas que trabajamos eso debe ser para pre grado , encima si ya no hay cupo te perjudica perdiendo cursos y luego nadie te ayuda, dejenos en un mismo grupo minimice tiempos y evitennos problemas.  mejoren amabilidad la gente de secretaria debe ser mas amable.",Negativo,Estrategia Académica
seguir aprendiendo,Positivo,Percepción General
los cursos muy interesantes,Positivo,Estrategia Académica
la pensión es muy alta y debe de bajar  deben de dar los carnet universitarios,Negativo,Percepción General
calidad de experiencia con la que cuentan los docentes.,Positivo,Docentes
"primero. el profesor tubo una falta y no hubo un reemplazo.  segundo. mala coordinador en la programación del curso de electricidad, magnetismo y óptica. sinceramente eso me incomoda.",Negativo,Estrategia Académica
revisar la curricula. verificar que los cursos con prerrequisitos no se den antes que su requisito.,Negativo,Estrategia Académica
que me ayuda a conocer nuevas cosas,Negativo,Estrategia Académica
mas importancia en los estudiantes,Negativo,Percepción General
la limpieza de las aulas y la calidad de la enseñanza que no es teórica sino también  didáctica .,Positivo,Docentes
"todo lo aprendido, q le da mas valor a mi vida",Positivo,Estrategia Académica
la profesora de responsabilidad social me grito,Negativo,Docentes
"pues me gustaria que implementen mas horas en lo que es la clase de taller ya que es fundamental en la carrera,igual que separen la clase de taller con la clase de dibujo que sean 2 clases distintas.",Negativo,Estrategia Académica
tecnica más divertida de los profes,Negativo,Docentes
"algunos cursos como desarrollo del talento, deberia basarse mas en la carrera porque parece curso de colegio.  una sede en el lugar mas seguro y centrico porque la zona en la tarde es peligrosa.",Negativo,Estrategia Académica
"el ambiente que se maneja tanto en clase como cuera de esta y el entusiasmo de los profesores de siempre preocuparse que aprendamos no solo para el examen, si no para la vida",Positivo,Percepción General
es muy buena en ense?anza,Positivo,Percepción General
"los profesores, la metodología que usan y que recurran al trabajo en equipo.",Positivo,Docentes
no nada,Positivo,Percepción General
"la enseñanza de los docentes es muy excelente, tambien mencionar la infraestructura que es muy buena.",Positivo,Docentes
los valores que inculca la universidad.,Positivo,Percepción General
aveces los profesores no suben los materiales del aula virtual a tiempo,Negativo,Docentes
en nada.,Positivo,Percepción General
hasta ahora en nada,Positivo,Percepción General
mas asesorias,Negativo,Estrategia Académica
falta de responsabilidad por parte de los profesores,Negativo,Docentes
que los alumnos del primer ciclo elijan los horarios y seria bueno que se aperture un turno noche para gente que trabaja pero q no llega a la edad de 24 años,Negativo,Estrategia Académica
los horarios y la distancia,Positivo,Estrategia Académica
temer una mejora continua de los acsesos y en el orden de las clases,Negativo,Percepción General
"pude conocer a nuevas personas, pude aprender nuevas cosas",Positivo,Percepción General
"la enseñanza, ,el pago que es moderado, estar en el wa que te ayuda a trabajar",Positivo,Estrategia Académica
las buenas técnicas de enseñanza,Positivo,Docentes
apoyar a los alumnos que trabajar. dándole un horario flexible.,Negativo,Estrategia Académica
el buen trato y losprofesores,Positivo,Docentes
su metodo de ensenar y los precios y ma curriculaf,Positivo,Estrategia Académica
la enseñanza que recibo de parte de los docentes y la empatia que tengo con mis compañeros.,Positivo,Docentes
en los cursos generales ;v,Negativo,Estrategia Académica
creo que deverian darnos horarios mas flexibles ya que algunos trabajan,Negativo,Estrategia Académica
la integración que tengo con nuevas personas y la calidad estudiantil,Positivo,Estrategia Académica
"que sus profesores enseñan bien ,",Positivo,Docentes
la exigencia con respecto a los cursos. deberian haber mas cursos que nos yuden a incrementar nuestro aprendizaje  con respecto a la carrera elegida,Negativo,Estrategia Académica
"acomodar mejor el tiempo del breack con el de las clases , hacer cola para el asensor,mejorar la red del wifi y crear un espacio musical",Positivo,Estrategia Académica
muy buenos docentes,Positivo,Docentes
valoro el arduo trabajo de los profesores,Positivo,Docentes
"que sea mas conocida,",Negativo,Percepción General
la paciencia y tolerancia de los docentes para enseñar,Positivo,Docentes
asesorias en grupos  conferencias,Positivo,Estrategia Académica
la calidad de enseñanza de cada profesor.,Positivo,Docentes
el prestigiosa que nos brinda,Positivo,Estrategia Académica
la buena enseñanza de los profesores y las herramientas que tiene para mejorar nuestro aprendizaje.,Positivo,Docentes
podemos aprender paso a paso cada tema  la enseñanza es de calidad  los profesores son comprensivos  las clases son dinamicas  hay talleres extra aparte de las clases,Positivo,Estrategia Académica
la manera eficaz que hw podido desarrollarme,Positivo,Percepción General
su docencia e infraestructura,Positivo,Docentes
algunos profesores no son tan buenos,Negativo,Docentes
las enseñanzas en la universidad y las cosas que aprendemos día a día.,Positivo,Docentes
"se deberia poner mas ascensores o mejorar los que hay para que los alumnos no se retrasen por esperarlos , ademas de que la señal de wifi parece que restringe la posibilidad de ver documentales youtube en los tiempos entre cursos (yo si lo hago no se si sea un caso particular) y que se deberia dar mas tiempo de break para poder bajar hasta el comedor y poder comer porque no se permite comer en las aulas.",Negativo,Estrategia Académica
me parece que la metodologia es buena,Positivo,Estrategia Académica
el compromiso  de los profesores hacia el alumno,Positivo,Docentes
la calidad educativa y la infraestructura del la universidad,Positivo,Estrategia Académica
"por ahora en nada, me siento a gusto en esta sede",Positivo,Percepción General
el horario brindado desde un inicio fue modificado sin consultar ni avisar al estudiante. la comida de la cafetería debería ser más rica. agilizar el tiempo de espera en  secretaria académica y coordinación académica. el wi-fi debería ser más rápido. no hay buena orientación a los estudiantes con respecto de dónde irse a quejar.,Negativo,Estrategia Académica
orden en la difucion de tareas en la web,Negativo,Docentes
la caidad de los profesores y la infraestuctura,Positivo,Estrategia Académica
en seminarios de cursos que no entendemos refuerzos y mas asensores,Negativo,Estrategia Académica
la clases ya que los profesores son muy didacticos con nosotos y susu clases son muy interesantes. la tecnica de hacer trabajos grupales.,Positivo,Docentes
en más horas de clase y que sean muchas  más dinámicas,Negativo,Estrategia Académica
"la buena enseñanza de los profesores,aparte de enseñar tambien te motivan a seguir adelante..son  carismaticos ??",Positivo,Docentes
la calidad de enseñanza que ofrece,Positivo,Docentes
experimentados profesores,Positivo,Docentes
en como los docentes muestran sus experiencias y nos ayudan a nosotros para nuestra carrera profecional,Positivo,Docentes
en enseñanza de los profesores y los talleres que hay,Positivo,Docentes
los accesibles precios de la pension y la buena calidad de enseñanza,Positivo,Estrategia Académica
"mejor accesibilidad de hprarios, mejor calidad de insumos en la cafsteria , lo profesores deben de subir las notas a tiempo",Negativo,Estrategia Académica
infraestructura y docencia capacitada.,Positivo,Docentes
el metodo de enseñansa  los altos conocimientos del docente,Positivo,Docentes
mezclan derecho y ingeneria la clase de matematica ahora nos toca clases de ingeneria osea se puso un poco mas dificil,Negativo,Estrategia Académica
deberian darles a algunos profesores clases de tino.,Negativo,Docentes
que los profesores son justs al poner una nota no tienen preferecia ni disgunto con alguno y el servicio es bueno.,Positivo,Docentes
que hay mucho apoyo en las clases,Positivo,Docentes
"que estuve comodo , enseñan bien",Positivo,Docentes
"la trata con los maestros es muy buena, la enseñanza es muy buen ya que desde el primer ciclo nos en sean la carrera. también valoro mucho las oportunidades que nos darán con el paso del tiempo en la universidad.",Positivo,Docentes
mi empeño estudiantil gracias a la metodologia de la universidad,Positivo,Docentes
"los ppts no explican bien el tema, los temas son muy simples y nada detallados, deberian abarcar mas temas en casa sesion de clase, los profesores deberian ser mas exigentes y deberia haber mas investigacion en todos los cursos, que nos preparen mas para la tesis.",Negativo,Estrategia Académica
"muchos trabajos grupales, no me permite dedicarme en los cursos ya que trabajo y me falta tiempo.",Negativo,Estrategia Académica
"la buena imagen y calidad de los profesores, su metodología de enseñanza, muy creativa, dinámica y divertida.",Positivo,Docentes
deben poner tablas de ajedrez en las bancas del 8vo piso paraa que los estudiantes no pierdan su tiempo en jugar casinos,Negativo,Percepción General
hasta el momento con nada,Positivo,Percepción General
las clases son muy buenas,Positivo,Estrategia Académica
"valoro mucho los profesores y la paciencia para el working adult, recomiendo que pongan mas personal en la central telefonica, asi como mas maquinas de cafe",Positivo,Docentes
la enseñanza es muy rapida,Negativo,Estrategia Académica
las clases y trabajos de campo,Positivo,Estrategia Académica
la enseñansa super bueno,Positivo,Docentes
la buena infraestructura y calidad de enseñanza,Positivo,Docentes
la eseñanza de los profesores,Positivo,Docentes
la dinamica en los profesores.,Negativo,Docentes
por que hay bueos prefesores por la infraestructura y pornlos valores que enseña la  upn,Positivo,Docentes
los prefesores,Positivo,Docentes
la enseñanza aademica,Positivo,Estrategia Académica
"algunos docentes no explican bien los trabajos y nos dan poco tiempo, basado que llevamos 6 cursos mas.",Negativo,Docentes
los comsejos de los profesores,Positivo,Docentes
deberian realizar mas actividades de psiologia,Negativo,Estrategia Académica
que este relacionando con profesores muy bien capacitados y que este adquiriendo mejores conocimientos y experiencias,Positivo,Docentes
la calidad de docentes y su infraestructura moderna,Positivo,Docentes
"el trabajo en equipo y los profesores  que estan bien comprometidos con sus alumnos,",Positivo,Docentes
"me gusta mucho la plana docente ya que todos los profesores que tengo hasta ahora son muy buenos y dinámicos, también me gusta la infraestructura de la universidad aunque seria mas de mi agrado que tuvieran mas áreas verdes.",Positivo,Docentes
la calidd de los profesores  la infraestructura,Positivo,Docentes
mas horarios flexibles,Negativo,Estrategia Académica
la responsabilidad,Positivo,Percepción General
"no hay horarios factibles ,mala coordinacion al entregarnos nuestros horarios no nos facilitan algunos documentos",Negativo,Estrategia Académica
por la calidad en la enseñansa de los profesores,Positivo,Docentes
"el ambiente muy fresco ,   las clases virtuales",Positivo,Percepción General
la enseñanza y los beneficios que tiene.,Positivo,Estrategia Académica
haberme incorporado rápidamente al sistema de trabajo.,Positivo,Estrategia Académica
yo creo que deberian mejorar un poco en cuanto a orden y organizaciom respecto a los alumnos ya que hay muchos en una misma sede,Negativo,Percepción General
"las clases me parecen bastantes dinámicas, las clases no se me hacen aburridas y puedo destacar que no es sólo teoría sino los mismos profesores motivan en participar durante la clase, algo más práctico.",Positivo,Estrategia Académica
más actividad en aula,Positivo,Estrategia Académica
los convenios que se tieme mediante la red laurate,Positivo,Percepción General
por el momento todo bien,Positivo,Percepción General
en los docentes de calculo 1,Negativo,Docentes
la enseñansa y la excelencia docentes,Positivo,Estrategia Académica
estudios de letras,Positivo,Estrategia Académica
el interes de la upn hacia los estudiantes,Positivo,Estrategia Académica
la enseñanza y la infrestructura que nos brinda,Positivo,Docentes
se preocupan por las necesidades de sus alumnos,Positivo,Percepción General
"falta de compromiso de los profesores, algunos llegan tarde, no ponen entusiasmo en sus clases, deberian agrandar la imfraestructura de la universidad, poner poofs en la azotea y biblioteca, poner mas areas verdes.",Negativo,Docentes
"valoro la plana docente calificada que tenemos , el área de bienestar que tenemos que nos brinda diferentes beneficios",Positivo,Docentes
el sistemas de horarios y el modo de brindar informacion,Positivo,Estrategia Académica
la buena enseñanza,Positivo,Docentes
los profesores se vuelven tus patas y enseñan bien,Positivo,Docentes
"los profesores, comparten experiencias y son de nuestra carrera, y la malla curricular es excelente y exigente.",Positivo,Docentes
en los profesores,Negativo,Docentes
"los amigos, la enseñanza y la infraestructura.",Positivo,Estrategia Académica
"en el caso de working adult, deberiamos mejorar los tiempos, ya que algunos por temas de trabajo no podemos asistir y quisieramos recuperarlo en el dia en otro horario coordinado.",Negativo,Estrategia Académica
el sílabo es muy extenso para el tiempo delo   programa w.a. se corre demasiado para el tiempo de aprendisaje.,Negativo,Estrategia Académica
en los horarios. creo que deberian tener mayor consideracion de horarios en working adult,Negativo,Estrategia Académica
no han fallado en nada aun,Positivo,Percepción General
la buena educasion que nos dan,Positivo,Percepción General
en infraestructura ; otro pabellon con mas salones.  nuevos horarios de clase.  una canchita deportiva de sintetica.,Negativo,Estrategia Académica
bueno pienso que ah algunos profesores les falta mas metodologia y fundamentacion para explicar los temas,Negativo,Docentes
"tiempo de espera en las llamadas, profesores mas didacticos.",Negativo,Docentes
que satisfacen todas mis necesidades estudiantiles,Positivo,Percepción General
"herramientas de apoyo que tenemos, la clase virtual y las facilidades de los horarios",Positivo,Estrategia Académica
la disciplina y la buena educación que nos brindan nuestros docentes,Positivo,Docentes
muy enseñanza y una buena plana estudiantil.,Positivo,Estrategia Académica
"el metodo de enseñanza que se transmite a los estudiantes es excelente, pero deberian realizarse asesoramientos para los alumnos respecto diferentes cursos para desarrollar mas el tema.",Positivo,Estrategia Académica
"en esta sede ,el caso de transporte  para que se nos sea mas accesible poder  llegar a lugares donde podamos real7zar practicas u obtener informacion de ella como ing. ambientales.",Negativo,Estrategia Académica
"la posibilidad de estudiar de manera presencial. no me gusta el horario del sábado, podria ser mas temprano.",Positivo,Estrategia Académica
"en el material de cursos , mejorar el nivel de dificultad   ampliar la biblioteca o permitir salones libres para poder estudiar",Negativo,Estrategia Académica
los apoyos que nos dan y los buenos profesores.,Negativo,Docentes
el nive educativo y las imstalaciones,Positivo,Estrategia Académica
la manera de enseñanza de los maestros.,Positivo,Docentes
la facilidad para estudiar trabajamdo.,Positivo,Estrategia Académica
la profesionalidad de los docentes,Positivo,Docentes
mayor imformacion hacia los estudiantes,Negativo,Percepción General
las herramientas y facilidades que brindan para el desarrollo de los estudiantes,Positivo,Estrategia Académica
los profesores deben temer cursos mas relacionados a nuestra carrera no que se dedique hablar de su trabajo personal que no lleva uma relacion.,Negativo,Docentes
el nivel academico de los profesores,Positivo,Docentes
"a mi parecer esta bien ,estoy conforme con lo que brinda",Positivo,Percepción General
docentes con poca metodologia de enseñanza,Negativo,Docentes
el bajo costo y la buena enseñanza.,Positivo,Percepción General
el modo de aprendizaje,Positivo,Percepción General
su manera de enseñanza de los profesores,Positivo,Docentes
las clases de matemáticas deberían estar en cursos virtuales; a fin de profundizar y aprender mejor los temas,Negativo,Estrategia Académica
la dinamica de los docentes para su explicacion y buen entendimiento de los alumnos.,Positivo,Docentes
los profesores dinamicos,Positivo,Docentes
la enseñanza de cada uno de los profesores .,Positivo,Docentes
el comportamiento estricto a los alumnos debería mejorar al igual que la metodología de los profesores ya que hay unos que dictan su clase y ya y hay otros que en verdad les importa que el alumno aprenda su clase.,Negativo,Docentes
"opino que deberia haber un filtro. un examen psicologico,ya que en el 8vo piso se encuentran jovenes comportandose inmaduramente. cosa que le quita prestigio a la universidad. eso y unas normas en las que estrictamente especifique no hacer bulla en los pasillos y el uso de celulares en clase.",Negativo,Percepción General
"el nivel académico en la universidad es un poco bajo, las clases deberían ser más exigentes y de mayor dificultad.",Positivo,Percepción General
las clases y amistades,Positivo,Estrategia Académica
calidad académica,Negativo,Estrategia Académica
las aulas implementadas y los bunos docentes,Positivo,Docentes
me gusta sus grupos de investigacion sigan asi,Positivo,Estrategia Académica
mas horarios disponibles en la tarde para las personas que trabajan,Negativo,Estrategia Académica
la enseñanza y los profesores,Positivo,Docentes
"muchas tareas,no es ideal para personas que trabajan",Negativo,Docentes
los profesores y el ambiente,Positivo,Docentes
se debería mejorar la información al momento de ingresar como los horarios o fechas de pago.,Negativo,Percepción General
que la pensión es económica y los profesores son experimentados,Positivo,Docentes
"que algunos docentes no suben el material a tiempo, o lo suben horas antes",Negativo,Docentes
su enseñanza   su infraestructura,Negativo,Estrategia Académica
los cursos y la dinamica de los profesores,Positivo,Docentes
en la exigencia,Negativo,Percepción General
"tener mas criterio en cuanto a cursos nosotros no estamos en ingenieria, y sin embargo matematicas nos mata pues nos exigen al maximo en un curso q en gestion no aplico matematicas, yo ya trabajo en esto",Negativo,Estrategia Académica
la enseñanza y deben mejorar la señal del internet,Positivo,Docentes
"los docentes , el equipamiento con el que cuenta y la tecnologia que posee",Positivo,Docentes
la metodologia d studio,Positivo,Estrategia Académica
su nivles,Positivo,Estrategia Académica
en los maestos y en la biblioteca por que no alcansa para todos cuando queremos hacer trabajo.,Negativo,Docentes
"la enseñanza , los salones modernos y equipados, la cancha de fútbol y el auditorio que ayuda mucho en la educación de nosotros los alumnos.",Positivo,Estrategia Académica
"la enseñanza por parte de los profesoes, la infrestructura y ambiente.",Positivo,Docentes
"compañeros, mp",Positivo,Percepción General
la calidad de los profesores y su infraestructura,Positivo,Docentes
la calidad educativa es muy buena,Positivo,Estrategia Académica
los profesores y,Negativo,Docentes
me gusta el nivel de enseñanza y preocupación de los profesores.,Positivo,Docentes
facilidad de horarios.. hay personas en post grado que trabajan y quisieran contar con el apoyo en esos temas. gracias.,Negativo,Estrategia Académica
"el nivel académico,  y la limpieza en los ambientes de la universidad",Positivo,Estrategia Académica
el aprendizaje  los compañeros,Positivo,Docentes
la enseñanza y los profesores.,Positivo,Docentes
las clases son didácticas,Positivo,Docentes
metodoligia d3 estudio y infraetructura,Positivo,Estrategia Académica
los docentes las clases etc,Positivo,Docentes
agilidad e información sobre los horarios y cursos como la ubicación,Negativo,Estrategia Académica
la enseñanza dia a dia para aplicarla en mi vida profesional y personal,Positivo,Estrategia Académica
"la formacion y valores de los profesores , se nota que son de vocacion",Positivo,Docentes
los horarios de entretiempo son muy cortos y no nos alcaza tiempo para almorzar,Positivo,Estrategia Académica
la universidad aun no es reconocida,Negativo,Percepción General
los conocimientos que nos brindan los profesores.,Positivo,Docentes
el nivel educativo y el acomodo de los horarios,Negativo,Estrategia Académica
"la innovacion que utilizan los maestros en sus clases y trabajos, el ambiente es el optimo para estudiar, podemos expresarnos sin ningun limite",Positivo,Estrategia Académica
falta de exigencia,Negativo,Docentes
el ambiente los profesores la infraesructura la calidad en el servicio la antencion,Positivo,Docentes
en tener horario turno noche para pre grado.,Positivo,Estrategia Académica
trabajos a ultima hor,Negativo,Docentes
creo que seria el horario del dia sabado! los dias de semana estaria mejor. en lo demas al momento va bien.,Negativo,Estrategia Académica
la calidad de enseñanza y los profesores altamente calificados   y la infraestructura,Positivo,Docentes
la metodología,Positivo,Estrategia Académica
no aperturan el aula temprano,Negativo,Percepción General
las tecnicas de estudii,Positivo,Estrategia Académica
la oportunidad,Positivo,Percepción General
los profesores y la llegadabque tienen para con el alumno.,Positivo,Docentes
la buena enseñanza academica,Positivo,Estrategia Académica
los lugares de estudio y enseñansas mas destacadas por partte de la universidad,Negativo,Docentes
la experiencia y capacidad de sus docentes,Positivo,Docentes
"la calidad de enseñanza,la infraestrutura yclos convenios con otra universidades",Positivo,Docentes
la puntualidad y la enseñanza de los profesores,Negativo,Docentes
"la educación , la manera de enseñanza de algunos profesores.",Positivo,Docentes
su nivel,Positivo,Percepción General
que las clases son 3 veces por semana y el horario es apartir de las 7 y media me da el tiempo de llegar,Positivo,Estrategia Académica
"la manera didactica de enseñar de los profesores, es muy buena.",Positivo,Docentes
las clases son muy didacticas,Positivo,Docentes
en contratar personal capacitado...  para la información de los nuevos alumnos.. y no mentirles que terminaran su carrera en 3 años y medio,Negativo,Percepción General
"deberian tener un limite de alumnos por aula ya se nota que somos un promedio de 40, mejorar el ingreso peatonal de la parte frontal",Negativo,Estrategia Académica
los horarios disponibes de clases,Positivo,Estrategia Académica
la comunicacion constante con el estudiante.,Positivo,Docentes
el aprender y conocer nuevos amigos,Positivo,Estrategia Académica
bienvenida y buenos docentes,Positivo,Docentes
las facilidades que te dan para tener un buen desarrollo academico.,Positivo,Estrategia Académica
"que tenga unos buenos profesionales enseñando, una buena estructura y organizacion.",Positivo,Docentes
muchos trabajos,Negativo,Docentes
en la profesora de matematica de primer ciclo,Negativo,Docentes
me han puesto 5 horas de comunicación ii en un solo dia,Negativo,Estrategia Académica
los metodos de enseñansa,Positivo,Estrategia Académica
horarios parq los pimeros vivlos,Negativo,Estrategia Académica
"la calidad de enseñanza, me parece muy buena y los distintos espacios que hay en la universidad para poder estudiar :)",Positivo,Docentes
"tiene una buena enseñanza, buenos maestros, recomendaria a personas para un futuro mejor.",Positivo,Estrategia Académica
ampliar las horas de clase y practica,Negativo,Estrategia Académica
en nada aun estoy en primer ciclo,Positivo,Percepción General
los profesores y la biblioteca,Positivo,Docentes
solo creo que deben dar hprarios a escoger están muy desordenados y eso causa que no podamos hacer otras actividades comóplato trabajar,Negativo,Estrategia Académica
calidad de profesores y ayuda virtual para los cursos,Positivo,Docentes
su buena ensenaza,Positivo,Estrategia Académica
las clases virtuales,Positivo,Estrategia Académica
lo que voy aprendiendo,Positivo,Estrategia Académica
hrario,Negativo,Estrategia Académica
valoro el poder seguir aprendiendo cada dia mas,Positivo,Estrategia Académica
las amistades y los docentes caligicados,Positivo,Docentes
las clases mas horas,Negativo,Estrategia Académica
que los profesores explican todo detalladamente,Positivo,Docentes
"el buen ambiente,los catedraticos",Positivo,Docentes
la infraestructura y aprendizaje,Positivo,Estrategia Académica
en la infraestructura y enseñanzq de profesores,Negativo,Docentes
el progrma para adultos nos da facilidades .,Positivo,Estrategia Académica
el aprendizaje.,Positivo,Docentes
que es una universidad que se encarga de ver no solo lo profesional si no tambien lo personal,Positivo,Percepción General
que es un ambiente economico,Positivo,Percepción General
la calidad de enseñanza de los docentes que nos brinda la universidad.,Positivo,Estrategia Académica
hasta ahora todo bien,Positivo,Percepción General
"es una buena experiecia, el ambiete de la universidad, y la atencion",Positivo,Percepción General
"poner mas talleres (teatro, oratoria)  respetar la malla curricular (no encuentro la actual)",Negativo,Estrategia Académica
"en brindar informacion,mal servicio y asesoramiento ,no saben ni saludar las de recepcion",Negativo,Percepción General
hay mucho desorden hay profesores q no se les entiende,Negativo,Docentes
"buen ambiente de aulas , buenos profesores y los metodos de estudios.",Positivo,Docentes
la metodologia de los profesores.,Positivo,Docentes
sus horarios hay gente que viene de lejos deben actalizar los ahorarios.,Negativo,Estrategia Académica
talvez un poco de dinamismo en algunas clases que tengan mucha teoria,Negativo,Estrategia Académica
la calidad,Positivo,Percepción General
"me gusta bastante la universidad a nivel general , con buenos docentes y un gran servicio  deberian agrandar las aereas verdes y la cafeteria ya que se llena muy rapido y no se puede almorzar",Positivo,Percepción General
los profesores te resuelven nuestras dudas y estan dispuesto a ayudarnos.,Positivo,Docentes
algunos estudiantes trabajamos el tema de poder estudiar de noche sin tener que tener una edad especifica,Negativo,Estrategia Académica
la preocupación y el seguimiento a ala inquietud del alumno,Positivo,Docentes
"en la selección de prefosores deberia ser mas cuidadosa, uno de los profesores dicta clases sin haberse preoarado previamente ademas no demuestra exigencia. deberian implementar talleres e información adicional.",Negativo,Docentes
el costo con relacion a la ensenanza,Positivo,Docentes
"la curricula, ya que al compararla es mas atractiva otras universidades, deberian incluir el ingles.",Negativo,Estrategia Académica
son excelentes profesores,Positivo,Docentes
creo yo que deben mejorar en lo que las clases deberian ser por seleccion de capacidad en lo qhe matematjca,Negativo,Docentes
mejora del app,Positivo,Percepción General
"el metodode estudio, sus beneficios.",Negativo,Estrategia Académica
el nivel académico de la mano de los servicios de la instiución,Positivo,Percepción General
"publicidad, convenios, sedes de practicas para wa.",Negativo,Percepción General
linfraestructura y la calidad y capacidad de los profesores.,Positivo,Docentes
valoro la preocupación de los profesores por enseñar o que sus cursos sean entendidos por los alumnos.,Positivo,Docentes
todo en experiencia la honestidad,Positivo,Percepción General
la accesibilidad para elegir nuestros horarios academicos algunos estudiantes trabajamos y necesitamos poder elegir,Negativo,Estrategia Académica
el trabajo q hacen sus docentes,Positivo,Docentes
la dinámica para enseñar de los profesores,Positivo,Docentes
"en la comodidad del alumno, hacer electivo los cursos del primer ciclo",Negativo,Estrategia Académica
"el wifi, comida, el aprendizaje, actividades, concurso de barras , fiestas de fin de ciclo",Positivo,Percepción General
el tema de lo que sucede en el octavo piso,Negativo,Percepción General
"la facildad de horarios, la carcanía",Positivo,Estrategia Académica
la ayuda y coordialidad de los profesores,Positivo,Docentes
la enseñanza personalizada de los docentes.,Positivo,Docentes
la calidad de los profesores y el trabajo en equipo que promueve.,Positivo,Docentes
"tiene muy buen metodo de estudio, en el programa para gente q trabajan nos dan la facilidad para continuar con nuestros estudios",Positivo,Estrategia Académica
la buena enseñansa de los profesores,Positivo,Docentes
los cursos virtuales,Negativo,Estrategia Académica
"en la biblioteca escasos libros de los cursos de la carrera, mas cursos de carrera en la malla curricular",Negativo,Estrategia Académica
en la proogramacion de clases los dias viernes ya que se pago por tres dias a la semana,Negativo,Estrategia Académica
cómo exige me parece muy bueno,Positivo,Estrategia Académica
la logistica,Positivo,Percepción General
"la enseñanza,los profesores que estan en mis cursos se hacen entender por el estudiante",Positivo,Docentes
atencion,Negativo,Percepción General
"tengo otra visión, hacia mis objetivos.",Positivo,Percepción General
la educacion es buena,Positivo,Estrategia Académica
la enseñanza hasta el momento de los profesores.,Positivo,Docentes
"los profesores son muy buenos , y el metodo de enseñanza igual",Positivo,Docentes
falta mas organizacion,Negativo,Percepción General
la calidad de los docentes y de una buena administracion.,Positivo,Docentes
la calidad de las clases.muy buenas,Positivo,Estrategia Académica
la buena interpretacion de los temas por parte del docente,Positivo,Docentes
"las enseñanzas, la buena atencion y que es un buen lugar.",Positivo,Estrategia Académica
enseñanza positiva.,Positivo,Docentes
la convivencia que se vive en las aulas y el compañerismo que hay en todas las aulas.,Positivo,Percepción General
me parece todo muy bien .,Positivo,Percepción General
las tecnicas de enseñanzas de los docentes,Positivo,Docentes
la calidad de ensenanza y experiencia de los profesores,Positivo,Docentes
el ambiente agradable,Positivo,Percepción General
